LON,LAT,resource_t,org_name,address,contact_na,contact_ti,phone,email,optional_r
-83.7836403,38.592917,Ag Tourism Venue,"""R"" Farm Pumpkins & More LLC","7171 Strodes Run Rd Maysville, KY 41056",Loura or Davis Robinson,,(606) 742-2429,estillrobinson@rfarm.com,www.r-farm.com
-85.1809718,37.6648262,Ag Tourism Venue,1851 Historic Maple Hill Manor,"2941 Perryville Rd US 150 Springfield, KY 40069",Todd Allen,,(859) 336-3075,stay@maplehillmanor.com,www.maplehillmanor.com
-84.0828852,37.9172688,Ag Tourism Venue,Agawam Farm,"800 Agawam Rd Winchester, KY 40391",Lori Winburn Payne,,(859) 595-1570,Winbu9@aol.com,
-86.533274,36.930301,Ag Tourism Venue,Alive N' Fuzzy,"299 Misty Lane Bowling Green, KY 42101",Elaine Painter,,,docepaint@yahoo.com,
-87.4222872,36.9122707,Ag Tourism Venue,Amazing Acres,"3445 Deason Rd Hopkinsville, KY 42240",Natalie Allison,,(270) 881-2445,natalieallison@yahoo.com,
-84.5599356,38.3028279,Ag Tourism Venue,Amerson Farm,"2731 Cincinnati Pike Georgetown, KY 40324",Paul & Emma Kleinhenz,,(502) 863-3799,sales@amersonfarms.com,www.amersonfarms.com
-84.3540877,38.1245686,Ag Tourism Venue,Antioch Daylilly Garden,"2231 Houston Antioch Rd Lexington, KY 40516",Charlie & Lisa Farmer,,(859) 293-0350,antiochdaylily@gmail.com,www.antiochdaylilygarden.com
-84.3421635,37.3587057,Ag Tourism Venue,Appalachia- Science In The Public Interest,"50 Lair St. Mt Vernon, KY 40456",Suzanne Van Etten,,(606) 256-0077,suzi@a-spi.org,www.a-spi.org
-86.293144,37.539677,Ag Tourism Venue,"Arbor Stone Vineyards, LLC","315 Hardin Road Leitchfield, KY 42754",William Davis,,(270) 230-1321,arborstonevineyards@gmail.com,www.arborstonevineyards.com
-84.4464409,37.894674,Ag Tourism Venue,Ardinn Farm Llc,"7704 Tates Creek Road Lexington, KY 40515",Martha Dereamer,,(859) 272-7155,ardinnfarm@icloud.com,www.ardinnfarm.com
-85.5369255,36.9595615,Ag Tourism Venue,Argent Moon Farm,"711 Reese Hurt Rd Edmonton, KY 42129",Bren Echols,,(270) 432-3174,brmechols@gmail.com,
-84.317778,38.993707,Ag Tourism Venue,Arrasmith Farm,"3595 Fender Road  Melbourne, KY 41059",Harriet Arrasmith,,(859) 630-1711,arrasmithfarm@gmail.com,www.arrasmithfarm.com
-84.6495092,38.1593494,Ag Tourism Venue,Artisan Brands Group LLC,"1009 Moores Mill Rd Midway, KY 40347",Pamela Trautner,,,artisanbrands@gmail.com,
