LON,LAT,resource_type,org_name,address,contact_1,contact_2,phone,email,optional_1
-85.9104221,37.6933416,Business Development Resource,Kentucky Center for Agriculture and Rural Development (KCARD),"411 Ring Road, Elizabethtown, KY 42701",,,(859) 500-3972,kcard@kcard.info,https://www.kcard.info/
-86.1891639,36.7529991,Community / Commercial Kitchen,Allen County Extension Office,"200 East Main Street Scottsville, KY 42164",Anna Meador,,(270) 237-3146,anna.meador1@uky.edu,
-88.3053837,36.6097839,Community / Commercial Kitchen,Anne Marie,"609 Maple Street Murray, KY 42071",Anne Marie,,(270) 681-5015,,
-83.71597,38.1372463,Community / Commercial Kitchen,Bath County Extension Office,"2914 E Highway 60 Owingsville, KY 40360",Amy Konopka,,(606) 674-6121,amy.konopka@uky.edu,
-82.5980659,38.4183924,Community / Commercial Kitchen,Boyd County Extension Office,"2420 Center Street Catlettsburg, KY 41129",Eugenia Wilson,,(606) 739-5184,eugenia.wilson@uky.edu,
-84.0441818,38.6717577,Community / Commercial Kitchen,Bracken County Extension Office,"1120 Brooksville-Germantown Road Brooksville, KY 41004",Amber Lippert,,(606) 735-2141,amber.lippert@uky.edu,
-89.00073,36.880813,Community / Commercial Kitchen,Carlisle County Extension Office,"65 John Roberts Drive Bardwell, KY 42023",Carissa Viniard,,(270) 628-5451,,
-85.966375,37.1426632,Community / Commercial Kitchen,Cave City Convention Center,"502 Mammoth Cave Street Cave City, KY 42127",Sharon Tabor,,(270) 773-3131,cavecitytourism@gmail.com,
-84.6196442,37.060918,Community / Commercial Kitchen,Center for Rural Development,"2292 US 27 #300 Somerset, KY 42501",McKinzie Loutre or Debra Hines,,(606) 677-6000,,
-84.9464374,37.3115164,Community / Commercial Kitchen,Central KY Ag Expo Center,"678 S. Wallace Wilkinson Blvd Liberty, KY 42539",Jennifer Harsey,,(606) 787-4740,agexpo@libertykentucky.org,
-85.7816412,38.2535769,Community / Commercial Kitchen,Chef Space,"1812 West Muhammad Ali Blvd Louisville, KY 40203",Jessi,,(502) 992-9436,,http://www.chefspace.org/
-85.3612301,36.774554,Community / Commercial Kitchen,Cumberland County Extension Office,"90 Smith Grove Road Burkesville, KY 42717",Debbie Messenger,,(270) 433-7700,,
-84.0082384,37.6996402,Community / Commercial Kitchen,Estill County Extension Office,"76 Golden Court Irvine, KY 40336",Eric Baker,,(606) 723-4557,ebaker@uky.edu,
-83.9406,38.057072,Community / Commercial Kitchen,Gateway Regional Arts Center,"101 E. Main Street Mt. Sterling, KY 40353",Pamela Henderson,,(859) 498-6264,,
-84.0957489,37.1347786,Community / Commercial Kitchen,Heritage Commercial Kitchen,"1313 N. Mill Street London, KY 40741",Wayne Riley,,(606) 843-6107,,
-83.9408771,37.325459,Community / Commercial Kitchen,Jackson County Regional Food Center,"366 Highway 3443 Tyner, KY 40486",Rebecca Woods,,(606) 364-3436,,https://www.regionalfoodcenterky.com/
-84.1770909,37.9926118,Community / Commercial Kitchen,Jenny Bailey,"39 S. Main Street Winchester, KY 40391",Jenny Bailey,,(859) 771-5756,,
-84.5087551,39.0795882,Community / Commercial Kitchen,Kickstart Kitchen,"1032 Madison Ave Covington, KY 41011",Mavis Linneman-Clark,,(859) 250-0881,mavis@delishdish.com,https://www.kickstartkitchenky.com/
-84.8546219,38.2011552,Community / Commercial Kitchen,KSU Fruit and Vegetable Mobile Processing Unit,"400 East Main St. Frankfort, Ky. 40601",Joni Nelson,,(502) 597-6831,,
-83.7160372,37.5758359,Community / Commercial Kitchen,Lee County Community Center,"500 Happy Top Road Beattyville, KY 41311",County Judge Executive � Steve Mays,,(606) 464-4100,smayslcjudge@mikrotec.com,
-84.4713395,38.0388535,Community / Commercial Kitchen,Lexington Pasta,"962 Delaware Avenue Lexington, KY 40505",Lesme Romero,,(859) 421-1764,Bodega@lexingtonpasta.com,http://www.pastagarage.com/home
-84.5737189,37.6131523,Community / Commercial Kitchen,Locals Market,"310 Crab Orchard Street Lancaster, KY 40444",Ed Sutton,,(859) 792-4471,localsmarket@outlook.com,
